25,0,0,0,0,5,0,0,0
25,0,5,0,0,5,25,0,0
25,25,0,25,0,5,25,25,5
25,25,0,25,0,0,25,0,5
0,25,0,0,0,5,0,25,5
0,25,0,0,0,0,0,0,5
0,0,0,25,25,0,0,25,0
0,0,0,25,0,0,25,25,0
25,25,0,0,25,5,0,25,0
25,25,5,0,25,5,25,25,0
0,0,5,25,25,5,0,25,5
0,0,5,25,0,5,25,25,5
5,17.4,1.2,5,17.4,0,6.2,17.4,0
5.96,17.4,1.2,5,17.4,1.2,6.2,17.4,0
5.96,17.4,2,5.96,17.4,1.2,6.2,17.4,0
6.2,17.4,2.2,5.96,17.4,2,6.2,17.4,0
6.2,17.4,2.2,6.2,17.4,0,6.2,17.6,1.2
6.2,17.6,1.2,6.2,17.6,2.2,6.2,17.4,2.2
6.2,17.6,2.2,5,17.6,2.2,6.2,17.4,2.2
5,17.6,2.2,5,17.4,2.2,6.2,17.4,2.2
5,17.4,2.2,5,17.4,2,6.2,17.4,2.2
5,17.4,2,5.96,17.4,2,6.2,17.4,2.2
5,17.6,2,5.96,17.4,2,5,17.4,2
5,17.4,2,5,17.4,2.2,5,17.6,2
5,17.6,2,5,17.4,2.2,5,17.6,2.2
5,17.6,2,5,17.6,2.2,5.96,17.6,2
5.96,17.6,2,5.96,17.4,2,5,17.6,2
5.96,17.6,2,5.96,17.6,1.2,5.96,17.4,2
5.96,17.4,2,5.96,17.6,1.2,5.96,17.4,1.2
5.96,17.4,1.2,5.96,17.6,1.2,5,18.6,1.2
5,17.4,1.2,5.96,17.4,1.2,5,18.6,1.2
5,18.6,0,5,17.4,1.2,5,18.6,1.2
5,18.6,0,5,18.6,1.2,6.2,18.6,0
6.2,17.4,0,5,18.6,0,6.2,18.6,0
6.2,17.6,1.2,6.2,17.4,0,6.2,18.6,0
6.2,18.6,1.2,6.2,17.6,1.2,6.2,18.6,0
6.2,18.6,0,5,18.6,1.2,6.2,18.6,1.2
5,18.6,1.2,5.96,17.6,1.2,6.2,18.6,1.2
6.2,18.6,1.2,5.96,17.6,1.2,6.2,17.6,1.2
5.96,17.6,2,6.2,17.6,1.2,5.96,17.6,1.2
5.96,17.6,2,6.2,17.6,2.2,6.2,17.6,1.2
5.96,17.6,2,5,17.6,2.2,6.2,17.6,2.2
5,17.4,0,5,18.6,0,6.2,17.4,0
5,17.4,0,5,17.4,1.2,5,18.6,0
6.4,17.4,1.2,6.4,17.4,0,7.6,17.4,0
